tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
The Walking Dead: World Beyond,11519429,372787,1,0,11
Them,11519429,372974,1,0,10
Messiah (2020),11519429,373186,1,0,10
Medical Police,11519429,374003,1,0,10
Sweet Home,11519429,374389,1,0,10
Cheer (2020),11519429,374441,1,0,6
Rise of Empires: Ottoman,11519429,375641,1,0,6
Cagaster of an Insect Cage,11519429,375688,1,0,12
I Am Not Okay With This,11519429,375998,1,0,7
The Head (2020),11519429,376164,1,0,1
Love is Blind,11519429,376459,1,0,36
Alice in Borderland (2020),11519429,376472,1,0,8
Reality Z,11519429,377083,1,0,10
Paranormal,11519429,377125,1,0,6
Feel Good,11519429,377294,1,0,12
HIT,11519429,377612,1,0,10
Brews Brothers,11519429,378024,1,0,8
Never Have I Ever,11519429,378746,1,0,0
Ragnarok,11519429,379873,0,0,0
Absurd Planet,11519429,379930,1,0,12
Too Hot to Handle,11519429,379962,1,0,28
Betaal,11519429,381809,1,0,4
The Midnight Club,11519429,381909,1,0,6
American Horror Stories,11519429,382187,1,0,10
Warrior Nun,11519429,382544,1,0,14
Cruel Summer,11519429,382556,1,0,10
Kissing Game,11519429,383414,1,0,5
Tribes of Europa,11519429,385320,1,0,6
La Révolution,11519429,385415,1,0,9
Teenage Bounty Hunters,11519429,385713,1,0,10
High Score (2020),11519429,385764,1,0,2
The Liberator,11519429,387461,1,0,1
Resident Evil,11519429,387525,1,0,5
Love & Anarchy,11519429,387697,1,0,8
The Girl in the Mirror,11519429,388567,1,0,9
Resident Evil: Infinite Darkness,11519429,389200,1,0,1
Our Flag Means Death,11519429,390093,1,0,8
The White Lotus,11519429,390430,1,0,7
The Woman in the House Across the Street from the Girl in the Window,11519429,390537,1,0,8
Archive 81,11519429,390936,1,0,8
Platonic (2023),11519429,391020,1,0,10
Outer Range,11519429,391101,1,0,9
Vincenzo,11519429,391784,1,0,1
The Last of Us,11519429,392256,1,0,5
ONE PIECE (2023),11519429,392276,1,0,13
The G Word with Adam Conover,11519429,392358,1,0,6
Shōgun,11519429,392573,1,0,10
God's Favorite Idiot,11519429,392708,1,0,0
Ahsoka,11519429,393187,1,0,8
Andor,11519429,393189,1,0,16
The Acolyte,11519429,393197,1,0,2
Obi-Wan Kenobi,11519429,393199,1,0,2
Man Vs Bee,11519429,393434,1,0,9
The Book of Boba Fett,11519429,393589,1,0,7
Bling Empire,11519429,393680,1,0,6
Tear Along the Dotted Line,11519429,394680,1,0,6
Spycraft,11519429,394748,1,0,8
"Boo, Bitch",11519429,396374,1,0,1
The Lost Pirate Kingdom,11519429,396840,1,0,6
Wednesday,11519429,397060,1,0,16
Hellbound,11519429,397444,1,0,0
Haunted: Latin America,11519429,398425,1,0,5
The Rig (2023),11519429,399194,1,0,5
Only Murders in the Building,11519429,399959,1,0,10
Extraordinary,11519429,401147,1,0,16
Framed! A Sicilian Murder Mystery,11519429,401632,1,0,6
Wolf Like Me,11519429,401966,1,0,11
Silo,11519429,403245,1,0,10
The Bear,11519429,403294,1,0,19
S.O.Z: Soldiers or Zombies,11519429,403342,1,0,8
How to Become a Tyrant,11519429,404815,1,0,6
Dogs in Space,11519429,405449,1,0,17
Florida Man,11519429,408709,1,0,7
Guillermo del Toro's Cabinet of Curiosities,11519429,409559,1,0,8
Freeridge,11519429,410611,1,0,8
An Astrological Guide for Broken Hearts,11519429,410984,1,0,12
Everything Calls for Salvation,11519429,410986,1,0,7
"History of the World, Part II",11519429,412421,1,0,1
Selling the OC,11519429,412874,1,0,0
Attack On Pearl Harbor: Minute By Minute,11519429,413031,1,0,1
The Law According to Lidia Poët,11519429,413773,1,0,1
Cunk on Earth,11519429,414217,1,0,2
Reboot (2022),11519429,414543,1,0,0
Murderville,11519429,414643,1,0,6
Fallout,11519429,416744,1,0,0
Alpha Males,11519429,417478,1,0,10
The Playlist,11519429,419097,1,0,0
Exploding Kittens,11519429,419191,1,0,1
